PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,tipologia,Stato,Ubicazione,Prelievo,Controllo Gen/26,,TIPOLOGIA,FORMA,DIAMETRO,RAGGIO,LUNGHEZZA
,BURZONI ,PUNTA D8.5 T55 D8 KP60,D8.5,,PUNTA,2,METALLO DURO,NUOVO,PUNTE1 ,,TRUE,,,,,,
,BURZONI ,PETTINE D6 FM100 M6 MDE,D6,,FRESA,1,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,CARMEX,PETTINE MT1010 C27 2.0 ,D10,,FRESA,1,A PETTINE,NUOVO  ,PETTINI,,TRUE,,,,,,
,CARMEX,PETTINE D14 MT1414 D33 2.5 ,D14,,FRESA,1,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,CERATIZIT,WNT MASCHIO EG SL25 HR M6 ISO 2-6H,M6,2246906000,MASCHIO,1,EG,NUOVO,MASCHI EG,,TRUE,,,,,,
,CERATIZIT,WNT PUNTA D12 HSS LUNGA,D12 ,10235120,PUNTA,1,METALLO DURO,USATO,PUNTE1 ,,TRUE,,,,,,
,CERATIZIT,WNT MASCHIO AMERICANO 10/32 2B C,10/32,22606010,MASCHIO,1,AMERICANO,NUOVO,MASCHI A,,TRUE,,,,,,
,CERATIZIT,INSERTO DXHT 11T308FR-27P,,50477508,INSERTI,10,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
BRCL00217C,CERATIZIT,INSERTO FRESA XDHT 11T308FR-27PH216T ,,50477508,INSERTI,16,FRESA,NUOVO,INSERTI FRESA,,TRUE,,,,,,
,CERATIZIT,PETTINE  HA 8.4 X 1.5,D8,,FRESA,4,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,CERATIZIT,PETTINE D HA10.37 T1600,D10,,FRESA,3,A PETTINE,NUOVO,PETTINI,,TRUE,,,,,,
,CERATIZIT,WNT PETTINE M8 X 1.25 HB6,D8,,FRESA,1,A PETTINE,USATO,PETTINI,,TRUE,,,,,,
BRCL4008727,CERATIZIT,FRESA METALLO DURO D5  R1,D5,5371105410,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,"FRESA METALLO DURO D5  K0,1",D5,5405905200,FRESA,4,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D6,D6 ,53523060,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO HSA 5X0.35,D5,54002050,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,FRESA METALLO DURO D6,D6,5407006200,FRESA,0,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D7 53 513 07400 ,D7,93568858,FRESA,0,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL00995C,CERATIZIT,FRESA METALLO DURO D10 R1,D10,52 870 10010,FRESA,3,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000033,CERATIZIT,WNT FRESA METALLO DURO D9.65,D9.65 ,,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D10,D10,53523100,FRESA,1,METALLO DURO,USATO ,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D12,D12,53523120,FRESA,2,METALLO DURO,USATO ,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D12,D12,1133 1200,FRESA,1,METALLO DURO,USATO ,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D12X0.30,D12,53585120,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D12 FX FA,D12,5261412,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
BRCL0000400000500,CERATIZIT,FRESA METALLO DURO D12 R0.5,D12,5407212205,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL00029C,CERATIZIT,FRESA METALLO DURO D12 R1,D12,5358612010,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000105,CERATIZIT,FRESA METALLO DURO D12,D12,5407012400,FRESA,3,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
BRCL000400000066,CERATIZIT,WNT FRESA METALLO DURO D20,D20,94199384,FRESA,1,METALLO DURO,USATO,FRESA METALLI1,,TRUE,,,,,,
BRCL00214C,CERATIZIT,WNT FRESA METALLO DURO D20,D20,94818038,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D20,D20,5405920200 D20,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,FRESA METALLO DURO D3,D3,5407003200,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,FRESA METALLO DURO D3 40°,D3,52784034,FRESA,2,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FREA METALLO DURO D1 30°,D1,52802103,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D3 30°,D3,5292133000,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D2.5 6.45°,D2.5,5066402500,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA METALLO DURO D3,D3,5407003200,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI1,,TRUE,,,,,,
,CERATIZIT,FRESA SFERICA METALLO DURO D7.45  R4,D7.45,,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,CERATIZIT,WNT FRESA SFERICA METALLO DURO D5.5  45°,D5.5,5361006200,FRESA,1,METALLO DURO,NUOVO,FRESA METALLI2,,TRUE,,,,,,
,CERATIZIT,WNT FRESA DIAMANTATA D10  30°,D10,50985 100,FRESA,2,DIAMANTATA,NUOVO,DIAMANTATE 1,,TRUE,,,,,,
,CERATIZIT,WNT FRESA DIAMANTATA D4  X 0.35,D4,5405904200,FRESA,3,DIAMANTATA,NUOVO,DIAMANTATE 2,,TRUE,,,,,,
