,,,,,,,,,
PN BRC,Fornitore,Descrizione,Misura,Serial Number,Tipo Prodotto,Quantità,Stato,Ubicazione,Prelievo
,FIMU,GUHRING MASCHIO EG M10  6H MOD HSSE,M10,302905553,MASCHIO,2,USATO,MASCHI EG,
,FIMU,GUHRING MASCHIO AMERICANO 1/4,1/4 28UNF 2BX,23501780,MASCHIO,1,USATO,MASCHI A,
BRCL000400000094,FIMU,GUHRING MASCHIO AMERICANO 7/16,7/16 20 UNF 2BX,15894562,MASCHIO,1,USATO,MASCHI A,
BRCL000400000096,FIMU,GUHRING MASCHIO AMERICANO 8/32,8/32 UNF 2BX,21497690,MASCHIO,1,NUOVO,MASCHI A,
BRCL000400000093,FIMU,GUHRING MASCHIO AMERICANO,10/32 UNF 2BX,20528839,MASCHIO,0,NUOVO,MASCHI A,
,FIMU,GUHRING MASCHIO AMERICANO 5/16,5/16 24 UNF 2BX,,MASCHIO,1,USATO,MASCHI A,
,FIMU,D'ANDREA INSERTO CCMT,CCMT,,INSERTI,3,NUOVO,INSERTI FRESA,
,FIMU,D'ANDREA INSERTO WCGT,WCGT,,INSERTI,9,NUOVO,INSERTI FRESA,
,FIMU,D'ANDREA INSERTO TPGX,DK100,32T09,INSERTI,9,NUOVO,INSERTI FRESA,
BRCL00248C,FIMU,D'ANDREA INSERTO TPGX,DC100,48D06,INSERTI,1,NUOVO,INSERTI FRESA,
,FIMU,INSERTO XOEX10T308FR,XOEX10T308FR E5,2823843,INSERTI,6,NUOVO,INSERTI FRESA,
,FIMU,INSERTO XOEX10T331FR-E05, XOEX10T331FR-E05,3002244,INSERTI,4,NUOVO,INSERTI FRESA,
,FIMU,INSERTO XOMX10T331TR,XOMX10T331TR,3102796,INSERTI,12,NUOVO,INSERTI FRESA,
,FIMU,INSERTO SNHQ110202EL4 E05,SNHQ110202EL4 E05,2526651,INSERTI,10,NUOVO,INSERTI FRESA,
,FIMU,INSERTO SNHQ110202ER4 E05,SNHQ110202ER4 E05,2526652,INSERTI,2,NUOVO,INSERTI FRESA,
BRCL01062C,FIMU,INSERTO FRESA EDCT140431,EDCT14043,KC410M,INSERTI,14,NUOVO,INSERTI FRESA,
,FIMU,INSERTO FRESA EDCT,EDCT140408PDFRLDJ,KC410M,INSERTI,13,NUOVO,INSERTI FRESA,
,FIMU,INSERO FRESA SFERICA,KDMB20MOERLD,601486489,INSERTI,7,NUOVO,INSERTI FRESA,
,FIMU,INSERTO FRESA SFERICA ,KDMB20MOERLD,601486489,INSERTI,12,USATO,INSERTI FRESA,
,FIMU,GUHRING PRTTINR D5 WN RFK ,D5,,FRESA,1,NUOVO,PETTINI,
,FIMU,GUHRING FRESA METALLO DURO D20 41200,D20,TMDG,FRESA,1,USATO,FRESA METALLI1,
,FIMU,GUHRING FRESA METALLO DURO D2.1,D2.1,,FRESA,1,NUOVO,FRESA METALLI2,
,FIMU,FRESA DIAMANTATA D16 R0.2,D16,02720262,FRESA,2,USATO,DIAMANTATE 1,
,FIMU,GUHRING ALESATORE D14 H7,D14,22802954,ALESATORE,1,NUOVO,ALESATORI,
,FIMU,GUHRING PUNTA D2.05,D2.05,648814P,PUNTA,1,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA D3.3,D3.3,5768-3300,PUNTA,2,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA D3.3,D3.3,DIN 6537 LR-RT1,PUNTA,2,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA D5.0,D5.0,,PUNTA,2,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA D5.1,D5.1,,PUNTA,1,USATO,PUNTE1,
,FIMU,GUHRING PUNTA D5.1,D5.1,,PUNTA,3,NUOVO,PUNTE1,
,FIMU,GUHRING PUNTA D5.6,D5.6,,PUNTA,1,USATO,PUNTE1,
,FIMU,GUHRING PUNTA D5.56,D5.56,,PUNTA,1,USATO,PUNTE1,
,FIMU,GUHRING PUNTA D6.6,D6.6,,PUNTA,1,NUOVO,PUNTE1,
BRCL00729C,HEULE,INSERTO LAMATORE IN TIRO,D8.0,BSF-M-B-1D-8.0,INSERTI,2,NUOVO,MARCO,
,HOFFMAN,GARANT PUNTA TASTATORE  359505,,,PUNTA,2,NUOVO,TASTATORI,
,HOFFMAN,PUNTA D1.6 HSS,D1.6,,PUNTA,4,NUOVO,PUNTE 1.6 PANNELLI,
,HOFFMAN,HOLEX PUNTA 1.6,D1.6,,PUNTA,3,NUOVO,PUNTE 1.6 PANNELLI,
BRCL000400000137,HOFFMAN,GARANT FRESA METALLO DURO D8,D8,202272 8,FRESA,1,NUOVO,FRESA METALLI1,
,HOFFMAN,GARANT FRESA METALLO DURO D10 R1,D10,4045197 764607,FRESA,2,NUOVO,FRESA METALLI1,
