Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
KARNASH FRESA DIAMANTATA D12X32,Fresa,Candela,D12,12.0,,32.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,291761,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D12X32,DIAMANTATA D12X32 KARNASH
KARNASH FRESA DIAMANTATA D16L2,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL00261C,291761.1600.36,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D16L2,DIAMANTATA D16L2 KARNASH
KARNASH FRESA DIAMANTATA D16L2=15,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,BRCL000400000360,2917533052391482,RAFF,2,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D16L2=15,DIAMANTATA D16L2 KARNASH
KARNASH FRESA DIAMANTATA D16,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,,RAFF,3,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D16,DIAMANTATA KARNASH
KARNASH FRESA DIAMANTATA D16L2=28,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,,RAFF,1,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D16L2=28,DIAMANTATA D16L2 KARNASH
KARNASH FRESA DIAMANTATA D16L2=3629,Fresa,Candela,D16,16.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,17523042390898,RAFF,2,Fresatura,Metrico,KARNASH FRESA DIAMANTATA D16L2=3629,DIAMANTATA D16L2 KARNASH
LAMATORE D.17,Lamatore,,D17,17.0,,,,,,Dx,,,NUOVO,POLLEDRI,,PSAG17-79L7,RAFF,1,Lamatura,Metrico,LAMATORE D.17,D
FRESA A T D10,Fresa,Candela,D10,10.0,,,,,,Dx,,,NUOVO,FRESA METALLI2,,FAT 10 SP3 Z4,RAFF,3,Fresatura,Metrico,FRESA A T D10,T A
ALESATORE D11 H7,Alesatore,,D11,11.0,,,H7,,,Dx,,,USATO,ALESATORI,,02895,RAFF,1,,Metrico,ALESATORE D11 H7,
ALESATORE D12.7  H7,Alesatore,,D12.7,12.7,,,H7,,,Dx,,,NUOVO,ALESATORI,,02895,RAFF,2,,Metrico,ALESATORE D12.7  H7,
ALESATORE D10 H7,Alesatore,,D10,10.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,02895,RAFF,2,,Metrico,ALESATORE D10 H7,
ALESATORE D18   DX DX VARIO,Alesatore,,D18,18.0,,,,,,Dx,,,USATO,ALESATORI,,02985,RAFF,1,,Metrico,ALESATORE D18   DX DX VARIO,DX VARIO
OSG PUNTA D1.5,Punta,,D1.5,1.5,,,,,,Dx,,,NUOVO,PUNTE1,,8577150,RAFF,5,Foratura,Metrico,OSG PUNTA D1.5,OSG
PUNTA A LANCIA D5,Punta,,D5,5.0,,,,,,Dx,,,NUOVO,PUNTE1,,,RAFF,1,Foratura,Metrico,PUNTA A LANCIA D5,LANCIA A
OSG PUNTA D5.1,Punta,,D5.1,5.1,,,,,,Dx,,,NUOVO,PUNTE1,,8722510,RAFF,2,Foratura,Metrico,OSG PUNTA D5.1,OSG
OSG PUNTA D7,Punta,,D7,7.0,,,,,,Dx,,,NUOVO,PUNTE1,,61570,RAFF,2,Foratura,Metrico,OSG PUNTA D7,OSG
PUNTA D7,Punta,,D7,7.0,,,,,,Dx,,,NUOVO,PUNTE1,,,RAFF,1,Foratura,Metrico,PUNTA D7,
PUNTA D6  6F HF,Punta,,D6,6.0,,,,,,Dx,,,NUOVO,PUNTE1,,14908941,REAMER,1,Foratura,Metrico,PUNTA D6  6F HF,6F HF
FRESA METALLO DURO D5 HM9/04,Fresa,Candela,D5,5.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000129,,RIME,2,Fresatura,Metrico,FRESA METALLO DURO D5 HM9/04,
FRESA METALLO DURO D5 HM99SX/05,Fresa,Candela,D5,5.0,,,,,,Sx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000720,,RIME,2,Fresatura,Metrico,FRESA METALLO DURO D5 HM99SX/05,HM99SX
FRESA METALLO DURO D20,Fresa,Candela,D20,20.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,HM90/20 D20,RIME,1,Fresatura,Metrico,FRESA METALLO DURO D20,
FRESA DIAMANTATA D1.5X8,Fresa,Candela,D1,1.0,,8.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,BRCL000400000219,HM84/15.8,RIME,3,Fresatura,Metrico,FRESA DIAMANTATA D1.5X8,DIAMANTATA 5X8
FRESA DIAMANTATA D1.5X2,Fresa,Candela,D1,1.0,,2.0,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,HM60/02,RIME,2,Fresatura,Metrico,FRESA DIAMANTATA D1.5X2,DIAMANTATA 5X2
FRESA DIAMANTATA D3,Fresa,Candela,D3,3.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,HTQ1/03,RIME,1,Fresatura,Metrico,FRESA DIAMANTATA D3,DIAMANTATA
FRESA SFERICA DIAMANTATA D8 R4,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,HM63/05,RIME,1,Fresatura,Metrico,FRESA SFERICA DIAMANTATA D8 R4,DIAMANTATA
INSERTO FRESA 327R09,Inserto,,18,18.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL000400000098,4626010405,SANDVIK,12,,,INSERTO FRESA 327R09,327R09 FRESA
FRESA DIAMANTATA D8X25X80RH,Fresa,Candela,D8,8.0,,25.0,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,XN.080.025.080XT,SC ROUTER,1,Fresatura,Metrico,FRESA DIAMANTATA D8X25X80RH,DIAMANTATA D8X25X80RH
INSERTI NFLB,Inserto,,160,160.0,,,,,,Dx,,,NUOVO,INSERTI FRESA,BRCL000400000335,,TAEGUTEC,6,,,INSERTI NFLB,NFLB INSERTI
ALESATORE D5  0500MDI,Alesatore,,D5,5.0,,,,,,Dx,METALLO DURO,,NUOVO,ALESATORI,,TAM90,TAM,1,,Metrico,ALESATORE D5  0500MDI,0500MDI
PETTINE D20,Fresa,Pettine,D20,20.0,,,,,,Dx,,,NUOVO,PETTINI,,,TECHNO,1,Fresatura,Metrico,PETTINE D20,
FRESA SPECIALE HONEYCOMB D9,Fresa,Candela,D9,9.0,,,,,,Dx,,,NUOVO,DIAMANTATE 1,,TE0569HM001,TESI,2,Fresatura,Metrico,FRESA SPECIALE HONEYCOMB D9,SPECIALE HONEYCOMB
FRESA A BOTTE,Fresa,Candela,TNF160 16M,,,,,,,Dx,,,NUOVO,INSERTI FRESA,,30673,TNF,1,Fresatura,Metrico,FRESA A BOTTE,A BOTTE
SMUSSATORE MANUALE D5.5  90°,Smussatore,,D5.5,5.5,,,,,90°,Dx,,,NUOVO,RIAFFILATE1,BRCL00400000180,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D5.5  90°,MANUALE
SMUSSATORE MANUALE D7,Smussatore,,D7,7.0,,,,,,Dx,,,NUOVO,RIAFFILATE1,,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D7,MANUALE
SMUSSATORE MANUALE D8.5  90°,Smussatore,,D8.5,8.5,,,,,90°,Dx,,,NUOVO,RIAFFILATE1,BRCL000400000185,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D8.5  90°,MANUALE
SMUSSATORE MANUALE D6.1  90°,Smussatore,,D6.1,6.1,,,,,90°,Dx,,,NUOVO,RIAFFILATE1,BRCL000400000181,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D6.1  90°,MANUALE
SMUSSATORE MANUALE D4.5  90°,Smussatore,,D4.5,4.5,,,,,90°,Dx,,,NUOVO,RIAFFILATE1,BRCL000400000179,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D4.5  90°,MANUALE
SMUSSATORE MANUALE D6.35  82°,Smussatore,,D6.35,6.35,,,,,82°,Dx,,,NUOVO,RIAFFILATE1,BRCL000400000182,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D6.35  82°,MANUALE
SMUSSATORE MANUALE D6.5  82°,Smussatore,,D6.5,6.5,,,,,82°,Dx,,,NUOVO,RIAFFILATE1,BRCL000400000183,,TUNIT,2,,Metrico,SMUSSATORE MANUALE D6.5  82°,MANUALE
ALESATORE D8  H7,Alesatore,,D8,8.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,321050800,UOP,2,,Metrico,ALESATORE D8  H7,
ALESATORE D11 X85,Alesatore,,D11,11.0,,85.0,,,,Dx,,,USATO,ALESATORI,,32105,UOP,1,,Metrico,ALESATORE D11 X85,
ALESATORE D11 H7,Alesatore,,D11,11.0,,,H7,,,Dx,,,USATO,ALESATORI,,321051100,UOP,1,,Metrico,ALESATORE D11 H7,
ALESATORE D6  H7,Alesatore,,D6,6.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,6225281,UOP,1,,Metrico,ALESATORE D6  H7,
MASCHIO M12,Maschio,,M12,12.0,,,,,,Dx,,,USATO,MASCHI,,6233,WSG,1,Filettatura,Metrico,MASCHIO M12,
FRESA METALLO DURO D8,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,BRCL000400000473,F11330800,WST,1,Fresatura,Metrico,FRESA METALLO DURO D8,
MASCHIO M16,Maschio,,M16,16.0,,,,,,Dx,,,USATO,MASCHI,,9245,YAMAHA,1,Filettatura,Metrico,MASCHIO M16,
ALESATORE D16X52X170,Alesatore,,D16,16.0,,52.0,,,,Dx,,,NUOVO,ALESATORI,BRCL00400000140,16177344,YG1,2,,Metrico,ALESATORE D16X52X170,D16X52X170
ALESATORE D3 H7,Alesatore,,D3,3.0,,,H7,,,Dx,,,NUOVO,ALESATORI,,K211100300,YG1,1,,Metrico,ALESATORE D3 H7,
PUNTA D2X4X21X57,Punta,,D2,2.0,,4.0,,,,Dx,,,NUOVO,PUNTE1,,,YG1,1,Foratura,Metrico,PUNTA D2X4X21X57,D2X4X21X57
PUNTA D2.7,Punta,,D2.7,2.7,,,,,,Dx,,,NUOVO,PUNTE1,,D5405027,YG1,1,Foratura,Metrico,PUNTA D2.7,
FRESA METALLO DURO D8,Fresa,Candela,D8,8.0,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI1,,,ZORLINE,1,Fresatura,Metrico,FRESA METALLO DURO D8,
PUNTA 1.6 HSS,Punta,,D1.6,1.6,,,,,,Dx,HSS,,NUOVO,PUNTE 1.6 PANNELLI,BRCL011840,,,3,Foratura,Metrico,PUNTA 1.6 HSS,
FRESA DIAMANTATA D10X20X70,Fresa,Candela,D10,10.0,,20.0,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,,,1,Fresatura,Metrico,FRESA DIAMANTATA D10X20X70,DIAMANTATA D10X20X70
FRESA DIAMANTATA D10,Fresa,Candela,D10,10.0,,,,,,Dx,,Diamante,NUOVO,DIAMANTATE 1,,108M.100103072,,1,Fresatura,Metrico,FRESA DIAMANTATA D10,DIAMANTATA
FRESA SFERICA DIAMANTATA D6 R45,Fresa,Torica,D6,6.0,45.0,,,,,Dx,,Diamante,USATO,DIAMANTATE 1,,366065D427,,1,Fresatura,Metrico,FRESA SFERICA DIAMANTATA D6 R45,DIAMANTATA SFERICA
FRESA LUNGA D12,Fresa,Candela,D12,12.0,,,,,,Dx,,,USATO,RIAFFILATE1,BRCL01044C,VHM 19210 KD14 D12,JONGEN,1,Fresatura,Metrico,FRESA LUNGA D12,LUNGA
PUNTA TD850 D7.8 KP60,Punta,,D7.8,7.8,,,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850 D7.8 KP60,
WNT PUNTA D7.6,Punta,,D7.6,7.6,,,,,,Dx,,,USATO,PUNTE2,BRCL000400000408,10734076,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D7.6,WNT
FRESA RIAFFILATA D18,Fresa,Candela,D18,18.0,,,,,,Dx,,,USATO,RIAFFILATE1,,02985,RAFF,1,Fresatura,Metrico,FRESA RIAFFILATA D18,RIAFFILATA
WNT PUNTA D8.5,Punta,,D8.5,8.5,,,,,,Dx,,,USATO,PUNTE2,,1170208500,CERATIZIT,2,Foratura,Metrico,WNT PUNTA D8.5,WNT
OSG PUNTA D8.6,Punta,,D8.6,8.6,,,,,,Dx,,,USATO,PUNTE2,,,RAFF,1,Foratura,Metrico,OSG PUNTA D8.6,OSG
PUNTA YG D8.7,Punta,,D8.7,8.7,,,,,,Dx,,,USATO,PUNTE2,,DH452087,RAFF,1,Foratura,Metrico,PUNTA YG D8.7,YG
OSG PUNTA D 8.6,Punta,,D8.6,8.6,,,,,,Dx,,,USATO,PUNTE2,,,RAFF,1,Foratura,Metrico,OSG PUNTA D 8.6,D OSG
PUNTA D8.5,Punta,,D8.5,8.5,,,,,,Dx,,,USATO,PUNTE2,,9150 8.5 K/P T-RED,TRED,1,Foratura,Metrico,PUNTA D8.5,
PUNTA TD850GP 0880 MDI,Punta,,D8.8,8.8,,880.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 0880 MDI,MDI TD850GP
PUNTA D8.5 TD850GP 0850 MDI,Punta,,D8.5,8.5,,850.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE2,,,BURZONI,1,Foratura,Metrico,PUNTA D8.5 TD850GP 0850 MDI,MDI TD850GP
PUNTA D9 TD850GP 0900 KR60,Punta,,D9,9.0,,900.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,1,Foratura,Metrico,PUNTA D9 TD850GP 0900 KR60,TD850GP
PUNTA D9.6 TD850GP 0960 KR60,Punta,,D9.6,9.6,,960.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,5,Foratura,Metrico,PUNTA D9.6 TD850GP 0960 KR60,TD850GP
WNT PUNTA  D9.8,Punta,,D9.8,9.8,,,,,,Dx,,,NUOVO,PUNTE2,,11 703 09800,CERATIZIT,2,Foratura,Metrico,WNT PUNTA  D9.8,WNT
PUNTA D9.8 TD850GP 0980 KR60,Punta,,D9.8,9.8,,980.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,4,Foratura,Metrico,PUNTA D9.8 TD850GP 0980 KR60,TD850GP
PUNTA D9.1 TD850GP 0910 KR60,Punta,,D9.1,9.1,,910.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,8,Foratura,Metrico,PUNTA D9.1 TD850GP 0910 KR60,TD850GP
PUNTA D9.2 TD850 D9.2 KP60,Punta,,D9.2,9.2,,,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA D9.2 TD850 D9.2 KP60,
PUNTA D9.5,Punta,,D9.5,9.5,,,,,,Dx,,,NUOVO,PUNTE2,,11 702 09000,CERATIZIT,1,Foratura,Metrico,PUNTA D9.5,
KENNAMETAL PUNTA D9.8,Punta,,D9.8,9.8,,,,,,Dx,,,NUOVO,PUNTE2,,B966A09800,FIMU,1,Foratura,Metrico,KENNAMETAL PUNTA D9.8,KENNAMETAL
PUNTA D10  5XD,Punta,,D10,10.0,,,,,,Dx,,,NUOVO,PUNTE2,,11 702 10000,CERATIZIT,2,Foratura,Metrico,PUNTA D10  5XD,5XD
PUNTA D9.8  8XD,Punta,,D9.8,9.8,,,,,,Dx,,,NUOVO,PUNTE2,,11 704  09800,CERATIZIT,1,Foratura,Metrico,PUNTA D9.8  8XD,8XD
PUNTA D10.1 TD850GP 1100 MDI,Punta,,D10.1,10.1,,1100.0,,,,Dx,METALLO DURO,,NUOVO,PUNTE2,,,BURZONI,1,Foratura,Metrico,PUNTA D10.1 TD850GP 1100 MDI,MDI TD850GP
PUNTA D10.2 TD850GP 1020 MDI,Punta,,D10.2,10.2,,1020.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,3,Foratura,Metrico,PUNTA D10.2 TD850GP 1020 MDI,MDI TD850GP
WNT PUNTA D10,Punta,,D10,10.0,,,,,,Dx,,,USATO,PUNTE2,,K10 R100 D10,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D10,WNT
WNT PUNTA D10,Punta,,D10,10.0,,,,,,Dx,,,USATO,PUNTE2,,1170310000,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D10,WNT
PUNTA D10.2,Punta,,D10.2,10.2,,,,,,Dx,,,NUOVO,PUNTE2,BRCL00467C,11 702 10200,CERATIZIT,3,Foratura,Metrico,PUNTA D10.2,
PUNTA TD850GP 1080 KR60,Punta,,D10.8,10.8,,1080.0,,,,Dx,,,USATO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 1080 KR60,TD850GP
PUNTA TD850GP 1050 MDI,Punta,,D10.5,10.5,,1050.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 1050 MDI,MDI TD850GP
PUNTA TD850GP 1100 MDI,Punta,,D11,11.0,,1100.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,1,Foratura,Metrico,PUNTA TD850GP 1100 MDI,MDI TD850GP
PUNTA D10.7  H7,Punta,,D10.7,10.7,,,H7,,,Dx,,,NUOVO,PUNTE2,,,OSSOLANA,1,Foratura,Metrico,PUNTA D10.7  H7,
PUNTA D10.5 5DX,Punta,,D10.5,10.5,,,,,,Dx,,,NUOVO,PUNTE2,,,CERATIZIT,1,Foratura,Metrico,PUNTA D10.5 5DX,5DX
WNT PUNTA D11.8,Punta,,D11.8,11.8,,,,,,Dx,,,USATO,PUNTE2,,,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D11.8,WNT
PUNTA TD850GP 1100 KR60,Punta,,D11,11.0,,1100.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 1100 KR60,TD850GP
PUNTA TD850GP 1170 KR60,Punta,,D11.7,11.7,,1170.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 1170 KR60,TD850GP
PUNTA TD850GP 1100 MDI,Punta,,D11,11.0,,1100.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,3,Foratura,Metrico,PUNTA TD850GP 1100 MDI,MDI TD850GP
PUNTA D11.5,Punta,,D11.5,11.5,,,,,,Dx,,,USATO,PUNTE2,,,BURZONI,1,Foratura,Metrico,PUNTA D11.5,
OSG PUNTA D8.6,Punta,,D8.6,8.6,,,,,,Dx,,,USATO,PUNTE2,,,RAFF,1,Foratura,Metrico,OSG PUNTA D8.6,OSG
OSG PUNTA D12,Punta,,D12,12.0,,,,,,Dx,,,NUOVO,PUNTE2,,43011220,RAFF,2,Foratura,Metrico,OSG PUNTA D12,OSG
PUNTA TD850GP 1250 KR60,Punta,,D12.5,12.5,,1250.0,,,,Dx,,,NUOVO,PUNTE2,,,BURZONI,2,Foratura,Metrico,PUNTA TD850GP 1250 KR60,TD850GP
PUNTA TD850GP 1200 KR60,Punta,,D12,12.0,,1200.0,,,,Dx,,,USATO,PUNTE2,,,BURZONI,3,Foratura,Metrico,PUNTA TD850GP 1200 KR60,TD850GP
PUNTA 11 702 12000,Punta,,D12,12.0,,,,,,Dx,,,NUOVO,PUNTE2,BRCL0004000003656,,CERATIZIT,1,Foratura,Metrico,PUNTA 11 702 12000,
WNT PUNTA 10 105 123,Punta,,D12.3,12.3,,,,,,Dx,,,NUOVO,PUNTE2,,,CERATIZIT,1,Foratura,Metrico,WNT PUNTA 10 105 123,WNT
WNT PUNTA 11 703 12000,Punta,,D12.5,12.5,,,,,,Dx,,,NUOVO,PUNTE2,,,CERATIZIT,3,Foratura,Metrico,WNT PUNTA 11 703 12000,WNT
PUNTA TD850GP 1050 MDI,Punta,,D10.5,10.5,,1050.0,,,,Dx,METALLO DURO,,USATO,PUNTE2,,,BURZONI,3,Foratura,Metrico,PUNTA TD850GP 1050 MDI,MDI TD850GP
WNT PUNTA D13,Punta,,D13,13.0,,,,,,Dx,,,NUOVO,PUNTE2,,10 107 130,CERATIZIT,1,Foratura,Metrico,WNT PUNTA D13,WNT
PUNTA D13,Punta,,D13,13.0,,,,,,Dx,,,NUOVO,PUNTE2,,10 787 1300,CERATIZIT,1,Foratura,Metrico,PUNTA D13,
PUNTA D15,Punta,,D15,15.0,,,,,,Dx,,,USATO,PUNTE2,,,YG1,1,Foratura,Metrico,PUNTA D15,
KARNASCH PUNTA D2.3 L14 CARBONIO,Punta,,D2.3,2.3,,,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D2.3 L14 CARBONIO,KARNASCH
KARNASCH PUNTA D2 X11 CARBONIO,Punta,,D2,2.0,,11.0,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D2 X11 CARBONIO,KARNASCH
PUNTA D2 CARBONIO,Punta,,D2,2.0,,,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,VHB 3395 MK10,JONGEN,2,Foratura,Metrico,PUNTA D2 CARBONIO,
PUNTA D2 CARBONIO,Punta,,D2,2.0,,,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,VHB 3394 KD14,JONGEN,1,Foratura,Metrico,PUNTA D2 CARBONIO,
KARNASCH PUNTA D2.5 X14,Punta,,D2.5,2.5,,14.0,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,6,Foratura,Metrico,KARNASCH PUNTA D2.5 X14,KARNASCH
KARNASCH PUNTA D3.5,Punta,,D3.5,3.5,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D3.5,KARNASCH
KARNASCH PUNTA D3 X12,Punta,,D3,3.0,,12.0,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,15,Foratura,Metrico,KARNASCH PUNTA D3 X12,KARNASCH
KARNASCH PUNTA D3.1,Punta,,D3.1,3.1,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D3.1,KARNASCH
KARNASCH PUNTA D3.2 X14,Punta,,D3.2,3.2,,14.0,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,3,Foratura,Metrico,KARNASCH PUNTA D3.2 X14,KARNASCH
KARNASCH PUNTA D4.4,Punta,,D4.4,4.4,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D4.4,KARNASCH
KARNASCH PUNTA D4.3 L29,Punta,,D4.3,4.3,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,3,Foratura,Metrico,KARNASCH PUNTA D4.3 L29,KARNASCH
CERIN PUNTA D4,Punta,,D4,4.0,,,,,,Dx,,,USATO,PUNTE3,,,CERIN,1,Foratura,Metrico,CERIN PUNTA D4,CERIN
KARNASCH PUNTA D4.5 L18,Punta,,D4.5,4.5,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,6,Foratura,Metrico,KARNASCH PUNTA D4.5 L18,KARNASCH
KARNASCH PUNTA D5.1 L35,Punta,,D5.1,5.1,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,6,Foratura,Metrico,KARNASCH PUNTA D5.1 L35,KARNASCH
KARNASCH PUNTA D5.8 X20,Punta,,D5.8,5.8,,20.0,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D5.8 X20,KARNASCH
KARNASCH PUNTA D5.5,Punta,,D5.5,5.5,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D5.5,KARNASCH
KARNASCH PUNTA D5.8 L35,Punta,,D5.8,5.8,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D5.8 L35,KARNASCH
SPPW PUNTA D5.1 L28,Punta,,D5.1,5.1,,,,,,Dx,,,NUOVO,PUNTE3,,,SPPW,3,Foratura,Metrico,SPPW PUNTA D5.1 L28,SPPW
KARNASCH PUNTA D5.5,Punta,,D5.5,5.5,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D5.5,KARNASCH
KARNASCH PUNTA D5.6 L43,Punta,,D5.6,5.6,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D5.6 L43,KARNASCH
KARNASCH PUNTA D6 X65,Punta,,D6,6.0,,65.0,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D6 X65,KARNASCH
KARNASCH PUNTA D6,Punta,,D6,6.0,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D6,KARNASCH
KARNASCH PUNTA D6 X20,Punta,,D6,6.0,,20.0,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,3,Foratura,Metrico,KARNASCH PUNTA D6 X20,KARNASCH
KARNASCH PUNTA D6.1  X43,Punta,,D6.1,6.1,,43.0,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D6.1  X43,KARNASCH
KARNASCH PUNTA D7.1  X43,Punta,,D7.1,7.1,,43.0,,,,Dx,,,NUOVO,PUNTE3,BRCL00365C,,RAFF,2,Foratura,Metrico,KARNASCH PUNTA D7.1  X43,KARNASCH
PUNTA D8.5 X80 CARBONIO,Punta,,D8.5,8.5,,80.0,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,,SPPW,2,Foratura,Metrico,PUNTA D8.5 X80 CARBONIO,
PUNTA KEVLAR D8.5,Punta,,D8.5,8.5,,,,,,Dx,KEVLAR,,USATO,PUNTE3,,,,2,Foratura,Metrico,PUNTA KEVLAR D8.5,
PUNTA CARBONIO D8.5,Punta,,D8.5,8.5,,,,,,Dx,CARBONIO,,USATO,PUNTE3,,,,1,Foratura,Metrico,PUNTA CARBONIO D8.5,
KARNASCH PUNTA D8  L3=2,Punta,,D8,8.0,,,,,,Dx,,,NUOVO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D8  L3=2,KARNASCH
PUNTA CARBONIO D8,Punta,,D8,8.0,,,,,,Dx,CARBONIO,,NUOVO,PUNTE3,,,YG1,3,Foratura,Metrico,PUNTA CARBONIO D8,
KENNAMETAL PUNTA D8.6,Punta,,D8.6,8.6,,,,,,Dx,,,NUOVO,PUNTE3,,,FIMU,1,Foratura,Metrico,KENNAMETAL PUNTA D8.6,KENNAMETAL
KARNASCH PUNTA D7.1,Punta,,D7.1,7.1,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D7.1,KARNASCH
KARNASCH PUNTA D8,Punta,,D8,8.0,,,,,,Dx,,,USATO,PUNTE3,,,RAFF,1,Foratura,Metrico,KARNASCH PUNTA D8,KARNASCH
CERIN PUNTA D9 CARBONIO,Punta,,D9,9.0,,,,,,Dx,CARBONIO,,USATO,PUNTE3,,,CERIN,1,Foratura,Metrico,CERIN PUNTA D9 CARBONIO,CERIN
