Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
KARNASCH PUNTA DIAMANTATA D6.5 L43,Punta,,D6.5,6.5,,,,,,Dx,,Diamante,NUOVO,BELOTTIC3,,290122,RAFF,1,Foratura,Metrico,KARNASCH PUNTA DIAMANTATA D6.5 L43,KARNASCH DIAMANTATA
PUNTA D7.6,Punta,,D7.6,7.6,,,,,,Dx,,,USATO,BELOTTIC3,,TD850 0760MDI,BURZONI,1,Foratura,Metrico,PUNTA D7.6,
PUNTA METALLO DURO T43 0750 HSSE,Punta,,D7.5,7.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO T43 0750 HSSE,HSSE
PUNTA CRESTA DI GALLO D9,Punta,,D9,9.0,,,,,,Dx,,,USATO,BELOTTIC3,,,CERIN,1,Foratura,Metrico,PUNTA CRESTA DI GALLO D9,CRESTA GALLO DI
PUNTA METALLO DURO TD850GP 2000 KR60,Punta,,D20,20.0,,2000.0,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO TD850GP 2000 KR60,TD850GP
WNT FRESA METALLO DURO D2.5,Fresa,Candela,D2.5,2.5,,,,,,Dx,METALLO DURO,,NUOVO,FRESA METALLI 1,,53 939 02500,CERATIZIT,1,Fresatura,Metrico,WNT FRESA METALLO DURO D2.5,WNT
PUNTA METALLO DURO D8.5,Punta,,D8.5,8.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO D8.5,
KARNASCH PUNTA CRESTA DI GALLO CARBONIO D3,Punta,,D3,3.0,,,,,,Dx,CARBONIO,,USATO,BELOTTIC3,,29008CA,RAFF,1,Foratura,Metrico,KARNASCH PUNTA CRESTA DI GALLO CARBONIO D3,CRESTA KARNASCH GALLO DI
KARNASCH PUNTA CARBONIO D3.2X14,Punta,,D3,3.0,,14.0,,,,Dx,CARBONIO,,USATO,BELOTTIC3,,29008B,RAFF,5,Foratura,Metrico,KARNASCH PUNTA CARBONIO D3.2X14,KARNASCH 2X14
PUNTA METALLO DURO D8,Punta,,D8,8.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850GP0800MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D8,
PUNTA METALLO DURO D8,Punta,,D8,8.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,11 704 08000,CERATIZIT,1,Foratura,Metrico,PUNTA METALLO DURO D8,
CERIN PUNTA CRESTA DI GALLO D9,Punta,,D9,9.0,,,,,,Dx,,,USATO,BELOTTIC3,,,RAFF,1,Foratura,Metrico,CERIN PUNTA CRESTA DI GALLO D9,CRESTA GALLO DI CERIN
PUNTA METALLO DURO D9.5,Punta,,D9.5,9.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,T43 0950 HSSE,TUNGLOY,2,Foratura,Metrico,PUNTA METALLO DURO D9.5,
PUNTA METALLO DURO D8.3,Punta,,D8.3,8.3,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA METALLO DURO D8.3,
PUNTA METALLO DURO D10.2 5XD,Punta,,D10.2,10.2,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,11 702 10200,CERATIZIT,1,Foratura,Metrico,PUNTA METALLO DURO D10.2 5XD,5XD
PUNTA METALLO DURO D8.8,Punta,,D8.8,8.8,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 0880 MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D8.8,
PUNTA METALLO DURO D10.5,Punta,,D10.5,10.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 1050 MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D10.5,
PUNTA METALLO DURO D10,Punta,,D10,10.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 1000 MDI,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO D10,
PUNTA METALLO DURO D9.8,Punta,,D9.8,9.8,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 0980 MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D9.8,
PUNTA METALLO DURO D8.5,Punta,,D8.5,8.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 0850 MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D8.5,
PUNTA METALLO DURO D9.7,Punta,,D9.7,9.7,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 0970 MDI,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D9.7,
PUNTA METALLO DURO D9.8 HSS A100,Punta,,D9.8,9.8,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,DORMER,1,Foratura,Metrico,PUNTA METALLO DURO D9.8 HSS A100,HSS
WMT PUNTA METALLO DURO D10,Punta,,D10,10.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,11 703 10000,CERATIZIT,1,Foratura,Metrico,WMT PUNTA METALLO DURO D10,WMT
PUNTA METALLO DURO D9,Punta,,D9,9.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA METALLO DURO D9,
PUNTA METALLO DURO D9.6,Punta,,D9.6,9.6,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,,,1,Foratura,Metrico,PUNTA METALLO DURO D9.6,
PUNTA METALLO DURO D11.7 KR60,Punta,,D11.7,11.7,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,TD850 GP 1170 KR60,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D11.7 KR60,
SVASATORE D16,Svasatore,,D16,16.0,,,,,,Dx,,,USATO,BELOTTIC3,,,RIME,1,,Metrico,SVASATORE D16,
SVASATORE D8 MKS,Svasatore,,D8,8.0,,,,,,Dx,,,USATO,BELOTTIC3,,HM35 8 90 MKS 180304,RIME,2,,Metrico,SVASATORE D8 MKS,MKS
PORTA LAMATORE,Lamatore,,D4,4.0,,,,,,Dx,,,,BELOTTIC3,,,,1,Lamatura,Metrico,PORTA LAMATORE,PORTA
WNT PUNTA METALLO DURO D11.5,Punta,,D11.5,11.5,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,11 703 11500,CERATIZIT,1,Foratura,Metrico,WNT PUNTA METALLO DURO D11.5,WNT
PUNTA METALLO DURO D11,Punta,,D11,11.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,T43 1100 HSSE,BURZONI,2,Foratura,Metrico,PUNTA METALLO DURO D11,
PUNTA METALLO DURO D10,Punta,,D10,10.0,,,,,,Dx,METALLO DURO,,USATO,BELOTTIC3,,T43 1000 HSSE,BURZONI,1,Foratura,Metrico,PUNTA METALLO DURO D10,
